filename,label,target,expected_result
good_material.png,good,0,PASS
defective_material.png,defective,1,FAIL
good_material_01.png,good,0,PASS
good_material_02.png,good,0,PASS
good_material_03.png,good,0,PASS
good_material_04.png,good,0,PASS
good_material_05.png,good,0,PASS
good_material_06.png,good,0,PASS
good_material_07.png,good,0,PASS
good_material_08.png,good,0,PASS
good_material_09.png,good,0,PASS
good_material_10.png,good,0,PASS
good_material_11.png,good,0,PASS
good_material_12.png,good,0,PASS
defective_material_01.png,defective,1,FAIL
defective_material_02.png,defective,1,FAIL
defective_material_03.png,defective,1,FAIL
defective_material_04.png,defective,1,FAIL
defective_material_05.png,defective,1,FAIL
defective_material_06.png,defective,1,FAIL
defective_material_07.png,defective,1,FAIL
defective_material_08.png,defective,1,FAIL
defective_material_09.png,defective,1,FAIL
defective_material_10.png,defective,1,FAIL
defective_material_11.png,defective,1,FAIL
defective_material_12.png,defective,1,FAIL
